/////////////////////////
/ Y                  X  /
/                       /
/           K           /
/                       /
/                       /
/                       /
/                       /
/          P            /
/            D          /
/                       /
/                       /
/                       /
/     K                 /
/                  K    /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                     Y /
/  X                    /
/                       /
/////////////////////////
