/////////////////////////
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/ P       R             /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/         D             /
/                       /
/                       /
/                       /
/                       /
/                       /
/////////////////////////
