/////////////////////////
/P                      /
/                    K  /
//////////////////// / //
/ E                     /
/ E                     /
/    ////////////////////
/                       /
/                   /////
//////        X     /////
////////             X  /
///////////////////     /
/      Y                /
/ K     Y               /
/                       /
/     ///////////////////
/     ///////////////////
/ X   ///////////////////
/     ///////////////////
/   X ///////////////////
/     ///////////////////
/       Y               /
/         Y      D      /
/                       /
/////////////////////////
