/////////////////////////
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/ P       H             /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/         D             /
/                       /
/                       /
/                       /
/                       /
/                       /
/////////////////////////
