/////////////////////////
/                       /
/                       /
/                       /
/                       /
/                       /
/             M         /
/                       /
/                       /
/  P                    /
/                       /
/                       /
/                       /
/             H         /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                D      /
/                       /
/                       /
/                       /
/////////////////////////
