/////////////////////////
/                       /
/  P              /  K  /
/                 ///////
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
//////////// ////////////
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/           D           /
/                       /
/                       /
/                       /
/////////////////////////
