/////////////////////////
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/ P       M             /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/                       /
/         D             /
/                       /
/                       /
/                       /
/                       /
/                       /
/////////////////////////
