/////////////////////////
/                       /
/     XXXXXXXXXXXXXXXXX /
/     YYYYYYYYYYYYYYYYY /
/     XXXXXXXXXXXXXXXXX /
/     YYYYYYYYYYYYYYYYY /
/     XXXXXXXXXXXXXXXXX /
/     YYYYYYYYYYYYYYYYY /
/ P                     /
/     YYYYYYYYYYYYYYYYY /
/     XXXXXXXXXXXXXXXXX /
/     YYYYYYYYYYYYYYYYY /
/     XXXXXXXXXXXXXXXXX /
/     YYYYYYYYYYYYYYYYY /
/     YYYYYYYYYYYYYYYYY /
/     YYYYYYYYYYYYYYYYY /
/     XXXXXXXXXXXXXXXXX /
/     YYYYYYYYYYYYYYYYY /
/     YYYYYYYYYYYYYYYYY /
/                    D  /
/                       /
/     XXXXXXXXXXXXXXXXX /
/     XXXXXXXXXXXXXXXXX /
/                       /
/////////////////////////
