/////////////////////////
/                       /
/ K                     /
/                / YYYY /
/                / YYYY /
/                / YYYY /
/                / YYYY /
/                / YYYY /
/                / YYYY /
/                /  D   /
/                /      /
/                ////////
/                 YY YY /
/                       /
/                 YYKYY /
/                 YY YY /
/                ////////
/     ///////////       /
/                       /
/                       /
/////////////////////////
/                       /
/          P            /
/                       /
/////////////////////////
